,id,name symptom,other name,link,acronym,,,,,
43,44,Sensorineural hearing impairment,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000407,,,
44,45,Abnormal autonomic nervous system physiology,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0012332,,,
45,46,Abnormality of visual evoked potentials,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000649,,,
46,47,Adrenocorticotropin receptor defect,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0008259,,,
47,48,Anisocoria,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0009916,,,
48,49,Babinski sign,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0003487,,,
49,50,Childhood onset,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0011463,,,
50,51,Decreased circulating aldosterone level,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0004319,,,
51,52,Decreased circulating cortisol level,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0008163,,,
52,53,Dysarthria,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001260,,,
53,54,Global developmental delay,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001263,,,
54,55,Hyperpigmentation of the skin,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000953,,,
55,56,Intellectual disability,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001249,,,
56,57,Muscle weakness,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001324,,,
57,58,Orthostatic hypotension,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0001278,,,
58,59,Palmoplantar hyperkeratosis,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0000972,,,
59,60,Progressive,Achalasia Addisonianism Alacrimia syndrome, AAA syndrome, AAA,,https://hpo.jax.org/app/browse/term/HP:0003676,,,
60,61,Abnormality of the face,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0000271,,,
61,62,Choreoathetosis,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0001266,,,
62,63,Constipation,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002019,,,
63,64,Decreased CSF homovanillic acid,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0003785,,,
64,65,Diarrhea,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002014,,,
65,66,Emotional lability,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0000712,,,
66,67,Feeding difficulties in infancy,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0008872,,,
67,68,Gastroesophageal reflux,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002020,,,
68,69,Hyperhidrosis,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0000975,,,
69,70,Hypotension,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002615,,,
70,71,Infantile onset,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0003593,,,
71,72,Intermittent hypothermia,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0005964,,,
72,73,Irritability,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0000737,,,
73,74,Limb dystonia,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002451,,,
74,75,Limb hypertonia,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002509,,,
75,76,Miosis,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0000616,,,
76,77,Muscular hypotonia of the trunk,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0008936,,,
77,78,Myoclonus,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0001336,,,
78,79,Nasal obstruction,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0001742,,,
79,80,Ptosis,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0000508,,,
80,81,Sleep disturbance,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0002360,,,
81,82,Temperature instability,Aromatic amino acid decarboxylase deficiency, AADC deficiency, DDC deficiency,,https://hpo.jax.org/app/browse/term/HP:0005968,,,
82,83,Alopecia,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001596,,,,
83,84,Atresia of the external auditory canal,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000413,,,,
84,85,Conductive hearing impairment,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000405,,,,
85,86,Hypogonadism,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000135,,,,
86,87,Sparse hair,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0008070,,,,
87,88,Absent eyebrow,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0002223,,,,
88,89,Absent eyelashes,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000561,,,,
89,90,Carious teeth,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000670,,,,
90,91,Facial asymmetry,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000324,,,,
91,92,Facial palsy,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0010628,,,,
92,93,Microtia,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0008551,,,,
93,94,Protruding ear,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000411,,,,
94,95,Severe short stature,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0003510,,,,
95,96,Anosmia,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000458,,,,
96,97,Bulbous nose,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000414,,,,
97,98,Choanal atresia,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000453,,,,
98,99,Choanal stenosis,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000452,,,,
99,100,Cleft palate,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000175,,,,
100,101,Decreased testicular size,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0008734,,,,
101,102,Downslanted palpebral fissures,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000494,,,,
102,103,Everted lower lip vermilion,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000232,,,,
103,104,Failure to thrive,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001508,,,,
104,105,Hypohidrosis,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000966,,,,
105,106,Micropenis,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000054,,,,
106,107,Multiple cafe-au-lait spots,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0007565,,,,
107,108,Patent ductus arteriosus,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001643,,,,
108,109,Preaxial hand polydactyly,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001177,,,,
109,110,Retrognathia,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000278,,,,
110,111,Right aortic arch,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0012020,,,,
111,112,Tetralogy of Fallot,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001636,,,,
112,113,Ventricular septal defect,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001629,,,,
113,114,Abnormality of cardiovascular system morphology,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0030680,,,,
114,115,Autosomal dominant inheritance,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000006,,,,
115,116,Growth delay,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0001510,,,,
116,117,Hypogonadotropic hypogonadism,Johnson-Mcmillin syndrome, Alopecia anosmia deafness hypogonadism syndrome, AADH syndrome,https://hpo.jax.org/app/browse/term/HP:0000044,,,,
117,118,Abdominal pain,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0002027,,,
118,119,Abnormality of urine homeostasis,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0003110,,,
119,120,Acholic stools,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0011985,,,
120,121,Biliary tract abnormality,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001080,,,
121,122,Fatigue,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0012378,,,
122,123,Hyperlipidemia,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0003077,,,
123,124,Lymphedema,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001004,,,
124,125,Nausea and vomiting,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0002017,,,
125,126,Neonatal cholestatic liver disease,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0006566,,,
126,127,Abnormality of skin pigmentation,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001000,,,
127,128,Multiple lipomas,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001012,,,
128,129,Splenomegaly,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001744,,,
129,130,Bone pain,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0002653,,,
130,131,Gastrointestinal hemorrhage,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0002239,,,
131,132,Portal hypertension,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001409,,,
132,133,Reduced bone mineral density,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0004349,,,
133,134,Conjugated hyperbilirubinemia,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0002908,,,
134,135,Elevated alkaline phosphatase,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0003155,,,
135,136,Erysipelas,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0001055,,,
136,137,Malabsorption,Cholestasis lymphedema syndrome, CHLS, LCS,,https://hpo.jax.org/app/browse/term/HP:0002024,,,
137,138,Hypertriglyceridemia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0002155,,,,,,
138,139,Hypocholesterolemia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0003146,,,,,,
139,140,Accelerated atherosclerosis,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0004943,,,,,,
140,141,Chronic noninfectious lymphadenopathy,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0002730,,,,,,
141,142,Coronary artery stenosis,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0005145,,,,,,
142,143,Distal muscle weakness,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0002460,,,,,,
143,144,Dry skin,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0000958,,,,,,
144,145,Ectropion,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0000656,,,,,,
145,146,Hepatosplenomegaly,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001433,,,,,,
146,147,Nail dystrophy,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0008404,,,,,,
147,148,Orange discolored tonsils,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0030814,,,,,,
148,149,Peripheral axonal neuropathy,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0003477,,,,,,
149,150,Progressive peripheral neuropathy,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0007133,,,,,,
150,151,Anemia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001903,,,,,,
151,152,Carotid artery stenosis,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0100546,,,,,,
152,153,Corneal opacity,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0007957,,,,,,
153,154,Facial diplegia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001349,,,,,,
154,155,Impaired thermal sensitivity,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0006901,,,,,,
155,156,Left ventricular hypertrophy,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001712,,,,,,
156,157,Syringomyelia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0003396,,,,,,
157,158,Thrombocytopenia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001873,,,,,,
158,159,Cicatricial ectropion,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0025608,,,,,,
159,160,Coronary artery atherosclerosis,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001677,,,,,,
160,161,Decreased HDL cholesterol concentration,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0003233,,,,,,
161,162,Distal amyotrophy,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0003693,,,,,,
162,163,Hyporeflexia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001265,,,,,,
163,164,Impaired pain sensation,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0007328,,,,,,
164,165,Impaired temperature sensation,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0010829,,,,,,
165,166,Myocardial infarction,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0001658,,,,,,
166,167,Nail dysplasia,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0002164,,,,,,
167,168,Opacification of the corneal stroma,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0007759,,,,,,
168,169,Peripheral demyelination,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",https://hpo.jax.org/app/browse/term/HP:0011096,,,,,,
169,170,Nephropathy,BEN, Aristolochic acid nephropathy, AAN,,https://hpo.jax.org/app/browse/term/HP:0000112,,,
170,171,Adenomatous colonic polyposis,Attenuated FAP, AFAP, Mild form of FAP,,https://hpo.jax.org/app/browse/term/HP:0005227,,,
171,172,Colorectal polyposis,Attenuated FAP, AFAP, Mild form of FAP,,https://hpo.jax.org/app/browse/term/HP:0200063,,,
172,173,Colon cancer,Attenuated FAP, AFAP, Mild form of FAP,,https://hpo.jax.org/app/browse/term/HP:0003003,,,
173,174,Duodenal polyposis,Attenuated FAP, AFAP, Mild form of FAP,,https://hpo.jax.org/app/browse/term/HP:0004783,,,
174,175,Multiple gastric polyps,Attenuated FAP, AFAP, Mild form of FAP,,https://hpo.jax.org/app/browse/term/HP:0004394,,,
175,176,Neoplasm of the stomach,Attenuated FAP, AFAP, Mild form of FAP,,https://hpo.jax.org/app/browse/term/HP:0006753,,,
