,subj,pred,obj
96,Bulbous nose,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
97,Choanal atresia,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
98,Choanal stenosis,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
99,Cleft palate,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
100,Decreased testicular size,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
101,Downslanted palpebral fissures,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
102,Everted lower lip vermilion,same,SEMDX; SEMD X-linked; Spondylo-epimetaphyseal dysplasia
103,Failure to thrive,same,SEMD Shohat type
104,Hypohidrosis,same,SEMD MATN3-related; Spondyloepimetaphyseal dysplasia Matrilin-3 type
105,Micropenis,same,Semantic primary progressive aphasia; Semantic variant PPA
106,Multiple cafe-au-lait spots,same,Semantic primary progressive aphasia; Semantic variant PPA
107,Patent ductus arteriosus,same,SPENCD; SEM; Spondylometaphyseal dysplasia with enchondromatous changes;
108,Preaxial hand polydactyly,same,"SEDC; SED congenita; Spondyloepiphyseal dysplasia, congenital type"
109,Retrognathia,same,SED; X linked spondyloepiphyseal dysplasia tarda; X-linked spondyloepiphyseal dysplasia
110,Right aortic arch,same,Spondylocarpotarsal syndrome; SCT; Synspondylism congenital;
111,Tetralogy of Fallot,same,"X-linked SCID; Severe combined immunodeficiency, X-linked; SCID, X-linked;"
112,Ventricular septal defect,same,"X-linked SCID; Severe combined immunodeficiency, X-linked; SCID, X-linked;"
113,Abnormality of cardiovascular system morphology,same,"X-linked SCID; Severe combined immunodeficiency, X-linked; SCID, X-linked;"
114,Autosomal dominant inheritance,same,"X-linked SCID; Severe combined immunodeficiency, X-linked; SCID, X-linked;"
115,Growth delay,same,"X-linked SCID; Severe combined immunodeficiency, X-linked; SCID, X-linked;"
116,Hypogonadotropic hypogonadism,same,"SCID, AR, T-cell negative, B-cell negative, NK cell-positive; SCID due to complete RAG1/2 deficiency; Severe immunodeficiency, autosomal recessive, T-cell negative, B-cell negative, NK cell-positive"
117,Abdominal pain,same,"SCID, AR, T-cell negative, B-cell negative, NK cell-positive; SCID due to complete RAG1/2 deficiency; Severe immunodeficiency, autosomal recessive, T-cell negative, B-cell negative, NK cell-positive"
118,Abnormality of urine homeostasis,same,"SCID, AR, T-cell negative, B-cell negative, NK cell-positive; SCID due to complete RAG1/2 deficiency; Severe immunodeficiency, autosomal recessive, T-cell negative, B-cell negative, NK cell-positive"
119,Acholic stools,same,UMS; Schinzel syndrome; Ulnar-mammary syndrome of Pallister
120,Biliary tract abnormality,same,UMS; Schinzel syndrome; Ulnar-mammary syndrome of Pallister
121,Fatigue,same,Schinzel Giedion midface-retraction syndrome; SGS; Schinzel-Giedion syndrome
122,Hyperlipidemia,same,Schinzel Giedion midface-retraction syndrome; SGS; Schinzel-Giedion syndrome
123,Lymphedema,same,Schinzel Giedion midface-retraction syndrome; SGS; Schinzel-Giedion syndrome
124,Nausea and vomiting,same,Schinzel Giedion midface-retraction syndrome; SGS; Schinzel-Giedion syndrome
125,Neonatal cholestatic liver disease,same,SCAR4; Spinocerebellar ataxia with saccadic intrusions; SCASI;
126,Abnormality of skin pigmentation,same,SCA6; Spinocerebellar ataxia 6
127,Multiple lipomas,same,SCA25; Spinocerebellar ataxia type 25
128,Splenomegaly,same,SCA21; Spinocerebellar ataxia type 21
129,Bone pain,same,SCA21; Spinocerebellar ataxia type 21
130,Gastrointestinal hemorrhage,same,SCA20; Spinocerebellar ataxia type 20
131,Portal hypertension,same,SCA13; Spinocerebellar ataxia type 13
132,Reduced bone mineral density,same,SCA12; Spinocerebellar ataxia type 12
133,Conjugated hyperbilirubinemia,same,"Trigonocephaly, short stature, and retarded psychomotor development; Say-Meyer syndrome; Trigonocephaly-short stature-developmental delay syndrome"
134,Elevated alkaline phosphatase,same,"Trigonocephaly, short stature, and retarded psychomotor development; Say-Meyer syndrome; Trigonocephaly-short stature-developmental delay syndrome"
135,Erysipelas,same,Sarcoid of Boeck; Schaumann's disease
136,Malabsorption,same,Sarcoid of Boeck; Schaumann's disease
137,Hypertriglyceridemia,same,Sarcoid of Boeck; Schaumann's disease
138,Hypocholesterolemia,same,Sarcoid of Boeck; Schaumann's disease
139,Accelerated atherosclerosis,same,Sarcoid of Boeck; Schaumann's disease
140,Chronic noninfectious lymphadenopathy,same,SANDO
141,Coronary artery stenosis,same,SANDO
142,Distal muscle weakness,same,Saccharopine dehydrogenase deficiency
143,Dry skin,same,Silver-Russell syndrome; Silver-Russell dwarfism; Russell Silver syndrome;
144,Ectropion,same,Silver-Russell syndrome; Silver-Russell dwarfism; Russell Silver syndrome;
145,Hepatosplenomegaly,same,RMD
146,Nail dystrophy,same,SDTY3; Syndactyly of the ring and little finger; Syndactyly of fingers four and five;
147,Orange discolored tonsils,same,"Robin sequence with cleft mandible and limb anomalies; Richieri-Costa and Pereira form of acrofacial dysostosis; Short stature, Robin sequence, cleft mandible, pre/postaxial hand anomalies, and clubfoot"
148,Peripheral axonal neuropathy,same,"Robin sequence with cleft mandible and limb anomalies; Richieri-Costa and Pereira form of acrofacial dysostosis; Short stature, Robin sequence, cleft mandible, pre/postaxial hand anomalies, and clubfoot"
149,Progressive peripheral neuropathy,same,"Robin sequence with cleft mandible and limb anomalies; Richieri-Costa and Pereira form of acrofacial dysostosis; Short stature, Robin sequence, cleft mandible, pre/postaxial hand anomalies, and clubfoot"
150,Anemia,same,"Robin sequence with cleft mandible and limb anomalies; Richieri-Costa and Pereira form of acrofacial dysostosis; Short stature, Robin sequence, cleft mandible, pre/postaxial hand anomalies, and clubfoot"
151,Carotid artery stenosis,same,"Robin sequence with cleft mandible and limb anomalies; Richieri-Costa and Pereira form of acrofacial dysostosis; Short stature, Robin sequence, cleft mandible, pre/postaxial hand anomalies, and clubfoot"
152,Corneal opacity,same,
153,Facial diplegia,same,St. Vitus dance; Sydenham chorea; Rheumatic chorea
154,Impaired thermal sensitivity,same,"Retinitis pigmentosa, HYpopituitarism, Nephronophthisis, and mild Skeletal dysplasia; Retinitis pigmentosa syndrome"
155,Left ventricular hypertrophy,same,"Retinitis pigmentosa, HYpopituitarism, Nephronophthisis, and mild Skeletal dysplasia; Retinitis pigmentosa syndrome"
156,Syringomyelia,same,"USH1A; Usher syndrome, type 1A; Usher syndrome, type I, French variety;"
157,Thrombocytopenia,same,"USH1A; Usher syndrome, type 1A; Usher syndrome, type I, French variety;"
158,Cicatricial ectropion,same,
159,Coronary artery atherosclerosis,same,RCDP1
160,Decreased HDL cholesterol concentration,same,WT syndrome; Radial-ulnar hypoplasia with bone marrow failure and/or leukemia
161,Distal amyotrophy,same,
162,Hyporeflexia,same,
163,Impaired pain sensation,same,
164,Impaired temperature sensation,same,
165,Myocardial infarction,same,Pulmonary arteriovenous fistula; Pulmonar arteriovenous aneurysm
166,Nail dysplasia,same,Pulmonary arteriovenous fistula; Pulmonar arteriovenous aneurysm
167,Opacification of the corneal stroma,same,
168,Peripheral demyelination,same,
169,Nephropathy,same,"Von Willebrand disease, platelet type"
170,Adenomatous colonic polyposis,same,Pseudodiastrophic dwarfism
171,Colorectal polyposis,same,Pseudoachondroplastic dysplasia; PSACH; Pseudoachondroplastic spondyloepiphyseal dysplasia;
172,Colon cancer,same,Pseudoachondroplastic dysplasia; PSACH; Pseudoachondroplastic spondyloepiphyseal dysplasia;
173,Duodenal polyposis,same,Pseudoachondroplastic dysplasia; PSACH; Pseudoachondroplastic spondyloepiphyseal dysplasia;
174,Multiple gastric polyps,same,Pseudoachondroplastic dysplasia; PSACH; Pseudoachondroplastic spondyloepiphyseal dysplasia;
175,Neoplasm of the stomach,same,Pseudoachondroplastic dysplasia; PSACH; Pseudoachondroplastic spondyloepiphyseal dysplasia;
176,Rectal polyposis,same,"Proximal tubulopathy, diabetes mellitus and cerebellar ataxia"
177,Adenocarcinoma of the colon,same,"Systemic sclerosis; Scleroderma, systemic; Progressive systemic sclerosis"
178,Astrocytoma,same,RTD; Primitive renal tubule syndrome
179,Congenital hypertrophy of retinal pigment epithelium,same,PWS; Willi-Prader syndrome; Prader-Labhart-Willi syndrome
180,Epidermoid cyst,same,PWS; Willi-Prader syndrome; Prader-Labhart-Willi syndrome
181,Fibroadenoma of the breast,same,Postpartum hypopituitarism; Postpartum panhypopituitarism; Postpartum panhypopituitary syndrome;
182,Fibroma,same,Postpartum hypopituitarism; Postpartum panhypopituitarism; Postpartum panhypopituitary syndrome;
183,Increased number of teeth,same,PPPP; Porokeratosis punctata palmaris et plantaris
184,Multiple renal cysts,same,Small cell bladder cancer; Small cell bladder carcinoma; Small cell carcinoma of the urinary bladder;
185,Osteoma,same,Pontocerebellar hypoplasia with infantile spinal muscular atrophy; Pontocerebellar hypoplasia with anterior horn cell disease
186,Papilloma,same,Pontocerebellar hypoplasia with infantile spinal muscular atrophy; Pontocerebellar hypoplasia with anterior horn cell disease
187,Thyroid adenoma,same,PTCD
188,Unerupted tooth,same,Polysyndactyly uncomplicated; Polydactyly preaxial 4; Preaxial polydactyly 4;
189,Uterine leiomyoma,same,Polysyndactyly uncomplicated; Polydactyly preaxial 4; Preaxial polydactyly 4;
190,Adrenocortical adenoma,same,Triphalangeal thumb-polysyndactyly syndrome ; PPD2; Polydactyly of a triphalangeal thumb
191,Desmoid tumors,same,Poland anomaly; Poland syndactyly; Poland sequence;
192,Duodenal adenocarcinoma,same,Poland anomaly; Poland syndactyly; Poland sequence;
193,Hepatoblastoma,same,Poland anomaly; Poland syndactyly; Poland sequence;
194,Medulloblastoma,same,Poland anomaly; Poland syndactyly; Poland sequence;
195,Papillary thyroid carcinoma,same,Poland anomaly; Poland syndactyly; Poland sequence;
196,Adrenocortical carcinoma,same,Poland anomaly; Poland syndactyly; Poland sequence;
197,Carcinoma,same,Poikiloderma of Rothmund-Thomson; Poikiloderma atrophicans and cataract; Poikiloderma Congenitale;
198,Keloids,same,Pyridoxine-5'-phosphate oxidase deficiency; PNPO Deficiency; Pyridoxamine 5-prime-phosphate oxidase deficiency;
199,Odontoma,same,Pyridoxine-5'-phosphate oxidase deficiency; PNPO Deficiency; Pyridoxamine 5-prime-phosphate oxidase deficiency;
200,Small intestine carcinoid,same,Pyridoxine-5'-phosphate oxidase deficiency; PNPO Deficiency; Pyridoxamine 5-prime-phosphate oxidase deficiency;
201,Variable expressivity,same,Pyridoxine-5'-phosphate oxidase deficiency; PNPO Deficiency; Pyridoxamine 5-prime-phosphate oxidase deficiency;
202,Abnormality of tibia morphology,same,PNP deficiency
203,Aplasia of the ulna,same,PNP deficiency
204,Aplasia/Hypoplasia involving the pelvis,same,
205,Aplasia/hypoplasia of the femur,same,
206,Aplasia/Hypoplasia of the sacrum,same,
207,Disproportionate short stature,same,"Pleiotropic, autosomal dominant disorder affecting connective tissue"
208,Ectrodactyly,same,Platelet factor X receptor deficiency
209,Fibular aplasia,same,Pyruvate kinase deficiency of red cells; Pyruvate kinase deficiency of erythrocytes; PK deficiency
210,Foot oligodactyly,same,
211,Hand oligodactyly,same,Pinealocytoma; Pinealoma
212,Micromelia,same,Twisted hair with nail dysplasias
213,Short foot,same,Twisted hair with nail dysplasias
214,Aplasia of the uterus,same,Twisted hair with nail dysplasias
215,Aplasia/Hypoplasia involving the carpal bones,same,"Talipes equinovarus, atrial septal defect, robin sequence, and persistence of left superior vena cava; TARPS; Pierre Robin syndrome with congenital heart malformation and clubfoot;"
216,Aplasia/Hypoplasia involving the metacarpal bones,same,Retention of dietary cholesterol and abnormal retention of non-cholesterol sterols in the body; Phytosterolemia; Plant sterol storage disease
217,Aplasia/Hypoplasia of metatarsal bones,same,Retention of dietary cholesterol and abnormal retention of non-cholesterol sterols in the body; Phytosterolemia; Plant sterol storage disease
218,Aplasia/Hypoplasia of the phalanges of the hand,same,PHTS
219,Aplasia/Hypoplasia of the phalanges of the toes,same,PHTS
220,Aplasia/Hypoplasia of the pubic bone,same,PHP1B
221,Aplasia/Hypoplasia of the tarsal bones,same,PSAT deficiency
222,Elbow ankylosis,same,PSAT deficiency
223,Elbow flexion contracture,same,PRPP synthetase superactivity; PRPS1 superactivity
224,Femoral bowing,same,Stoll-Levy-Francfort syndrome; Stoll-Lévy-Francfort syndrome; Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome
225,Humeroradial synostosis,same,Pheochromocytoma and islet cell tumor of the pancreas
226,Hypoplasia of the radius,same,Phenotypic diarrhea; SD/THE; Syndromatic diarrhea;
227,Intrauterine growth retardation,same,Phenobarbital embryopathy
228,Micrognathia,same,PGK deficiency; Phosphoglycerate kinase 1 deficiency; PGK1 deficiency
229,Phocomelia,same,"Properdin P factor deficiency; PFD; Properdin deficiency, type 1"
230,Radial bowing,same,Progeroid syndrome congenital Petty type; Petty Laxova Wiedemann syndrome
231,Short neck,same,
232,Split hand,same,
233,Anal atresia,same,
234,Calvarial skull defect,same,PNDM; Permanent diabetes mellitus of infancy
235,Cryptorchidism,same,PMD; Pelizaeus Merzbacher disease; Pelizaeus Merzbacher brain sclerosis
236,"High, narrow palate",same,Sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction (formerly); Pearson's marrow/pancreas syndrome; Pearson's syndrome;
237,Hip dislocation,same,Sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction (formerly); Pearson's marrow/pancreas syndrome; Pearson's syndrome;
238,Hydrops fetalis,same,Sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction (formerly); Pearson's marrow/pancreas syndrome; Pearson's syndrome;
239,Hypoplasia of penis,same,Sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction (formerly); Pearson's marrow/pancreas syndrome; Pearson's syndrome;
240,Meningocele,same,Sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction (formerly); Pearson's marrow/pancreas syndrome; Pearson's syndrome;
241,Occipital meningocele,same,Pyruvate dehydrogenase deficiency; PDHC; PDH;
242,Short nose,same,PBT
243,Talipes,same,Patterson's leprechaunoid syndrome
244,Tracheoesophageal fistula,same,Patterson-Lowry rhizomelic dysplasia; Patterson Lowry syndrome
245,Anteriorly displaced genitalia,same,"PDV; Portosystemic venous shunt, congenital; PSVS"
246,Barrel-shaped chest,same,"PDV; Portosystemic venous shunt, congenital; PSVS"
247,Broad clavicles,same,"PHACE association; PHACES association; Posterior fossa brain malformations, hemangiomas of the face, arterial anomalies, cardiac anomalies, and eye abnormalities;"
248,Broad neck,same,"PHACE association; PHACES association; Posterior fossa brain malformations, hemangiomas of the face, arterial anomalies, cardiac anomalies, and eye abnormalities;"
249,Broad ribs,same,"PHACE association; PHACES association; Posterior fossa brain malformations, hemangiomas of the face, arterial anomalies, cardiac anomalies, and eye abnormalities;"
250,Long face,same,"PHACE association; PHACES association; Posterior fossa brain malformations, hemangiomas of the face, arterial anomalies, cardiac anomalies, and eye abnormalities;"
251,Prominent sternum,same,"PHACE association; PHACES association; Posterior fossa brain malformations, hemangiomas of the face, arterial anomalies, cardiac anomalies, and eye abnormalities;"
252,Scrotal hypoplasia,same,Partial AVSD; Partial atrioventricular septal defects; Partial common atrioventricular canal
253,Anonychia,same,Partial AVSD; Partial atrioventricular septal defects; Partial common atrioventricular canal
254,Aplastic pubic bones,same,PKWS
255,Carpal bone aplasia,same,PKWS
256,Congenital pseudoarthrosis of the clavicle,same,PKWS
257,Decreased calvarial ossification,same,PANDAS; Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus; Pediatric autoimmune disorders associated with Streptococcus infections
258,Epicanthus,same,PANDAS; Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus; Pediatric autoimmune disorders associated with Streptococcus infections
259,Hemivertebrae,same,
260,High palate,same,PAN; Periarteritis; Polyarteritis
261,Hypoplastic nipples,same,W syndrome
262,Hypospadias,same,W syndrome
263,Long ear,same,Pallido-pyramidal disease
264,Low-set ears,same,Pallido-pyramidal disease
265,Narrow palate,same,
266,Pectus carinatum,same,Oxoprolinuria due to 5-oxoprolinase deficiency; 5-alpha-oxoprolinase deficiency
267,Pilonidal sinus,same,Potassium sodium disorder of erythrocyte; Stomatocytosis I
268,Wide nasal bridge,same,Potassium sodium disorder of erythrocyte; Stomatocytosis I
269,Broad foot,same,Ovarian carcinoma
270,Broad palm,same,
271,Camptodactyly of finger,same,
272,Hypertelorism,same,
273,Shawl scrotum,same,
274,Short palm,same,OPPG; OPS; Osteogenesis imperfecta ocular form;
275,Small hand,same,OPPG; OPS; Osteogenesis imperfecta ocular form;
276,Umbilical hernia,same,OPPG; OPS; Osteogenesis imperfecta ocular form;
277,Anteverted nares,same,OPPG; OPS; Osteogenesis imperfecta ocular form;
278,Broad forehead,same,Otopalatodigital syndrome type 1; Taybi syndrome; OPD syndrome;
279,Clinodactyly of the 5th finger,same,Otopalatodigital syndrome type 1; Taybi syndrome; OPD syndrome;
280,Cognitive impairment,same,Otopalatodigital syndrome type 1; Taybi syndrome; OPD syndrome;
281,External ear malformation,same,Onat syndrome
282,Finger syndactyly,same,Onat syndrome
283,High anterior hairline,same,Ophthalmo-mandibulo-melic dysplasia; OMM syndrome
284,Hyperextensible skin,same,Ophthalmo-mandibulo-melic dysplasia; OMM syndrome
285,Inguinal hernia,same,SCA 2; Spinocerebellar ataxia type 2; Spinocerebellar atrophy 2;
286,Joint hyperflexibility,same,SCA 2; Spinocerebellar ataxia type 2; Spinocerebellar atrophy 2;
287,Long philtrum,same,
288,"Low-set, posteriorly rotated ears",same,
289,Abnormal vertebral segmentation and fusion,same,OI type VIII; OI8; Osteogenesis imperfecta type 8
290,Attention deficit hyperactivity disorder,same,OI type 7; OI type VII
291,Cleft upper lip,same,OI type 7; OI type VII
292,Congestive heart failure,same,OI type 5; Type V OI; OI type V;
293,Delayed eruption of teeth,same,"OI type 3; Osteogenesis imperfecta, progressively deforming with normal sclerae; OI type III;"
294,Genu recurvatum,same,OFD5; Oral-facial-digital syndrome 5; Thurston syndrome;
295,Hypoplasia of the maxilla,same,OFD5; Oral-facial-digital syndrome 5; Thurston syndrome;
296,Megalocornea,same,OFD5; Oral-facial-digital syndrome 5; Thurston syndrome;
297,Pectus excavatum,same,OFD3; Oral-facial-digital syndrome type 3; OFD syndrome 3;
298,Pes planus,same,OFD3; Oral-facial-digital syndrome type 3; OFD syndrome 3;
299,Round face,same,OPDM; Oculopharyngeal distal myopathy
300,Single transverse palmar crease,same,OPDM; Oculopharyngeal distal myopathy
301,Strabismus,same,ODOD recessive
302,Broad philtrum,same,ODOD recessive
303,"Intellectual disability, mild",same,Oculo-dento-digital dysplasia; Oculo-dento-digital syndrome; Oculodentodigital syndrome;
304,Lozenge-shaped umbilicus,same,"Occipital atretic cephalocele, unusual facies and large feet"
305,Prominent umbilicus,same,"Occipital atretic cephalocele, unusual facies and large feet"
306,Short 5th finger,same,OAFNS; Oculoauriculofrontonasal dysplasia
307,Brachydactyly,same,NYS3
308,Cervical spine hypermobility,same,Non-tuberculous mycobacterial lung disease; Pulmonary non-tuberculous mycobacterial infection
309,Clinodactyly,same,Non-tuberculous mycobacterial lung disease; Pulmonary non-tuberculous mycobacterial infection
310,Curved linear dimple below the lower lip,same,Niemann Pick disease type B
311,Delayed puberty,same,NICH; Noninvoluting congenital hemangioma
312,Hyperextensibility of the finger joints,same,NLSDM; Neutral lipid storage disease without ichthyosis
313,Hypermetropia,same,NLSDM; Neutral lipid storage disease without ichthyosis
314,Hypodontia,same,"Niemann-Pick disease, type C; NPC1; Niemann-Pick disease with cholesterol esterification block;"
315,Hypoplasia of the odontoid process,same,NF1; Type 1 neurofibromatosis; Recklinghausen's disease;
316,Increased upper to lower segment ratio,same,
317,Large earlobe,same,
318,Mild short stature,same,
319,Radial deviation of finger,same,
320,Scoliosis,same,
321,Syndactyly,same,
322,Widow's peak,same,
323,X-linked recessive inheritance,same,"Nephroblastomatosis fetal ascites macrosomia and wilms tumor; Renal hamartomas, nephroblastomatosis, and fetal gigantism"
324,Deeply set eye,same,"Nephroblastomatosis fetal ascites macrosomia and wilms tumor; Renal hamartomas, nephroblastomatosis, and fetal gigantism"
325,Hypoplasia of the iris,same,"Nephroblastomatosis fetal ascites macrosomia and wilms tumor; Renal hamartomas, nephroblastomatosis, and fetal gigantism"
326,Abnormal pupil morphology,same,STWS; Schwartz-Jampel syndrome type 2; SJS2;
327,Abnormality of dental enamel,same,STWS; Schwartz-Jampel syndrome type 2; SJS2;
328,Diabetes mellitus,same,STWS; Schwartz-Jampel syndrome type 2; SJS2;
329,Excessive wrinkled skin,same,STWS; Schwartz-Jampel syndrome type 2; SJS2;
330,Glaucoma,same,Wiedemann-Rautenstrauch syndrome; Progeroid syndrome neonatal; Wiedemann Rautenstrauch syndrome
